Inventory ID,Department or Division,Dataset Name,Dataset Description,Data Classification,Value,Department Priority,Date Added to Inventory,Publishing Status,Dataset ID,Dataset Link,Date Published,Category,Publishing Approach,Update Frequency,field_names,monthly_views,days_since_data_update,days_overdue,data_last_changed_dt,data_processed_at,data_as_of,data_loaded_at
ETH-0025,Ethics Commission,Campaign Finance - List of Candidates Running for Office in November 2012 who have Accepted the Voluntary Expenditure Ceiling,"This dataset includes all itemized Miscellaneous Increases to Cash ($100 or more) e-filed on Fair Political Practices Commission (FPPC) Form 460 Schedule ""I"" Miscellaneous Increases to Cash from 1998 to the present.  The data is current as of the last modified date on this dataset.  See the data key for column definitions: https://data.sfgov.org/Ethics/Campaign-Finance-Data-Key/wygs-cc76",Level 1 - Public,High,Priority 1,2015-04-30T00:00:00Z,Published,npcx-9w98,https://data.sfgov.org/d/npcx-9w98,08/15/2012,City Management and Ethics,Manual,Not updated (historical only),"candidate_name, office_sought",,4898,,2012-08-21T21:55:16Z,2026-01-18T00:00:00Z,2025-02-27T14:27:46Z,2026-01-18T19:13:25Z
DPH-0009,Public Health,San Francisco Flood Health Vulnerability,"The San Francisco Department of Public Health Flood Health Vulnerability Index is a composite index that measures the spatial distribution and relative vulnerability of San Francisco communities to the health impacts of flood inundation and extreme storms. The index is constructed using socioeconomic and demographic, exposure, health, and housing indicators and is intended to serve as a planning tool for health and climate adaptation. Steps for calculating the index can be found in in the ""An Assessment of San Francisco’s Vulnerability to Flooding & Extreme Storms"" located at https://sfclimatehealth.org/wp-content/uploads/2018/12/FloodVulnerabilityReport_v5.pdf.pdf

Data dictionary can be found in the attachments section of the metadata.",Level 1 - Public,High,Priority 1,2016-03-09T00:00:00Z,Published,cne3-h93g,https://data.sfgov.org/d/cne3-h93g,03/10/2016,Health and Social Services,Manual,As needed,"census_blockgroup, children, children_wnullvalues, elderly, elderly_wnullvalues, nonwhite, nonwhite_wnullvalues, poverty, poverty_wnullvalues, education, education_wnullvalues, english, english_wnullvalues, elevation, sealevelrise, precipitation, diabetes, mentalhealth, asthma, disability, disability_wnullvalues, housingquality, homeless, livalone, livalone_wnullvalues, floodhealthindex, floodhealthindex_quintiles",22,3586,,2016-03-25T00:34:48Z,2026-01-18T00:00:00Z,2025-02-27T14:27:46Z,2026-01-18T19:13:25Z
CSC-0008,311,[Historical Only] 311 Top Articles Referenced (from Nov. 2017 to Oct 2023),"This report tracks the name and source/website of the articles referenced for each month shown. Titles with a department name at the end reflect information provided from the department website. The other articles are maintained by SF311 to supplement department data. Articles used by 311 in the course of creating service requests (such as graffiti handling processes) are not included. Metrics of knowledge use from September and October 2017 was inconsistent following the migration to a new system in September 2017. Additionally, the names of articles is different than article names prior to the upgrade.  This dataset is updated monthly. 

Note - This is not up-to-date as of June 2023. We are working to fully load the full data in the near future.
For historical data (Top Articles Referenced through Aug. 2017), go to: 
https://data.sfgov.org/City-Infrastructure/311-Top-Articles-Referenced-historical-through-Aug/hrr4-hjc6/data",Level 1 - Public,Low,Priority 2,2017-12-13T00:00:00Z,Published,3tsy-c2sd,https://data.sfgov.org/d/3tsy-c2sd,12/13/2017,City Management and Ethics,Manual,Not updated (historical only),"top_articles_referenced, june_2023, may_2023, april_2023, march_2023, february_2023, january_2023, december_2022, november_2022, october_2022, september_2022, august_2022, july_2022, june_2022, may_2022, april_2022, march_2022, february_2022, january_2022, december_2021, november_2021, october_2021, september_2021, august_2021, july_2021, june_2021, may_2021, april_2021, march_2021, february_2021, january_2021, december_2020, november_2020, october_2020, september_2020, august_2020, july_2020, june_2020, may_2020, april_2020, march_2020, february_2020, january_2020, december_2019, november_2019, october_2019, september_2019, august_2019, july_2019, june_2019, may_2019, april_2019, march_2019, february_2019, january_2019, december_2018, november_2018, october_2018, september_2018, august_2018, july_2018, june_2018, april_2018, may_2018, march_2018, february_2018, january_2018, december_2017, november_2017",,828,,2023-10-13T20:55:10Z,2026-01-18T00:00:00Z,2025-09-22T12:13:12Z,2026-01-18T19:13:25Z
ETH-0115,Ethics Commission,SFEC Form 3500 - Disclosure Report for Developers of Major City Projects Filings,"Effective July 26, 2014, City law impose reporting requirements on developers of certain City real estate projects with an estimated construction cost of more than $1,000,000. Developers must file five forms with the Ethics Commission over the course of about a year disclosing donations to nonprofit organizations that have contacted City officials about their project. The first form is due within 30 days of certification of an Environmental Impact Report (""EIR"") by a local agency or, if the project relies on a program EIR, within 30 days of the adoption of a final environmental determination under the California Environmental Quality Act. Disclosure is not required for a residential development project with four or fewer dwelling units. A disclosure report must be completed and filed by the developer of any ""major project."" A major project is a real estate development project located in the City and County of San Francisco with estimated construction costs exceeding $1,000,000 where either: The Planning Commission or any other local lead agency certifies an Environmental Impact Review (""EIR"") for the project under the California Environmental Quality Act (""CEQA""); or The project relies on a program EIR and the Planning Department, Planning Commission, or any other local lead agency adopts any final environmental determination under CEQA. (See below to determine when a final environmental determination is adopted.)A major project does not include a residential development project with four or fewer dwelling units. For purposes of this filing requirement, a ""developer"" includes the individual or entity that is the project sponsor responsible for filing a completed Environmental Evaluation Application (""EEA"") with the Planning Department (or other lead agency) under CEQA. However, if an individual who signs and submits the EEA will not be responsible for obtaining the entitlements or developing the major project, the developer is instead the individual or entity that is responsible for obtaining such entitlements. A developer must use the SFEC 3500 form to file a total of five reports with the Ethics Commission with respect to each major project. The first (or initial) report must be filed within 30 days of the date the Planning Commission or any other local lead agency certifies the EIR for that project or, for a major project relying on a program EIR, within 30 days of the date that the Planning Department, Planning Commission, or any other local lead agency adopts a final environmental determination under CEQA. The developer must also use this form to file four subsequent quarterly reports, beginning with the quarter in which in the initial report is filed. The due dates for the quarterly reports are: April 15 for the period starting January 1 and ending March 31; July 15 for the period starting April 1 and ending June 30;October 15 for the period starting July 1 and ending September 30; and January 15 for the period starting October 1 and ending December 31.",Level 1 - Public,High,Priority 1,2019-06-29T00:00:00Z,Published,8je3-gv3q,https://data.sfgov.org/d/8je3-gv3q,09/17/2018,City Management and Ethics,Automated,Streaming,"filing, developername, originalfilingdate, filingtype, reportnumber, periodyear, periodcovered, developeraddress, developertelephone, developeremail, filername, filertelephone, planningdepartmentcasenumber, projectdescription, envevalappdate, eircertenvdetermadoptdate, donationspriorreportcheck, nonprofitdonationtotal, additionaldonationsheetscheck, affiliatestotal, additionalaffiliatessheetscheck, signername, datesigned, periodstartdate, periodenddate, docusignid, projectaddress",,3,2,2026-01-15T21:50:02Z,2026-01-18T00:00:00Z,2025-02-27T14:27:46Z,2026-01-18T19:13:25Z
RNT-0004,Rent Arbitration Board,Petitions to the Rent Board,"Petitions may be filed for a variety of reasons, most commonly to have the Rent Board determine the rent. Some of the other common petition filing grounds include: decrease in housing services, unlawful rent increase, failure to repair and maintain, roommate proportional share of the rent, general obligation bond passthrough challenge, utility passthrough challenge, water revenue bond passthrough challenge, violation of the Residential Hotel Visitor Policy, capital improvement passthroughs, operating and maintenance expense increases, extension of time (to perform capital improvement work), comparable rents, intent to withdraw (Ellis), utility passthrough petition and worksheet, Costa-Hawkins determination, Rules and Regulations §1.21, hardship applications, and Alternative Dispute Resolution (ADR). Petitions are also accepted on “other” grounds. For more information, please see: https://www.sf.gov/landlord-petitions-and-passthroughs and https://www.sf.gov/tenant-petitions",Level 3 - Sensitive,High,Priority 2,2015-04-30T00:00:00Z,Published,6swy-cmkq,https://data.sfgov.org/d/6swy-cmkq,12/28/2015,Housing and Buildings,Automated,Monthly,"petition_id, date_filed, priority, appeal_id, filing_party, prop_i_petition, ground_landlord_capital_improvement, ground_landlord_comparable_rents, ground_landlord_extension_of_time_for_capital_improvments, ground_landlord_intent_to_withdraw_ellis, ground_landlord_other, ground_landlord_operating_maintenance, ground_landlord_substantial_rehabilitation, ground_landlord_costa_hawkins, ground_landlord_exemption, ground_landlord_rules_and_regulations_section_1_21, ground_landlord_rules_and_regulations_section_6_14, ground_landlord_rules_and_regulations_section_6_15, ground_landlord_sro_hotel_vistor_policy_petition, ground_landlord_utility_passthrough_petition, ground_landlord_owner_move_in_disability_determination, ground_landlord_utility_passthrough_worksheet, ground_landlord_non_comparable_rents, ground_tenant_decrease_in_housing_services, ground_tenant_failure_to_repair_and_maintain, ground_tenant_passthrough_challenge, ground_tenant_summary_petition, ground_tenant_unlawful_rent_increase, ground_tenant_wrongful_eviction_report, ground_tenant_section_8_tenancy, ground_tenant_sro_hotel_vistor_policy_petition, ground_tenant_rules_and_regulations_section_6_15, ground_tenant_other, ground_tenant_utility_passthrough_hardship, ground_tenant_water_revenue_bond_passthrough_hardship, ground_tenant_capital_improvement_passthrough_hardship_petition, ground_tenant_wrongful_severance_of_housing_service, ground_alternative_dispute_resolution, address, zipcode, petition_source_zipcode, supervisor_district, neighborhoods_analysis_boundaries, location, data_as_of, data_loaded_at, shape, analysis_neighborhood",2201,0,,2026-01-18T13:23:44Z,2026-01-18T00:00:00Z,2025-02-27T14:27:46Z,2026-01-18T19:13:25Z
CON-0046,Controller,Citywide Nonprofit Spending,"<strong>Summary</strong>
The City and County of San Francisco contracts with hundreds of nonprofit organizations to provide services for San Franciscans. These services include healthcare, legal aid, shelter, children’s programming, and more. This dataset contains all payments issued to nonprofit organizations by City departments since FY2019. This dataset will be updated at the close of each fiscal year. The underlying data is pulled from Supplier Payments on SF OpenBook. The data pulled for the dashboards reflect supplier transactions that occurred within each fiscal year. Some payments may be made based on prior fiscal year invoices and data may not reflect payments for invoices received after the fiscal year end. Please use SF OpenBook to find current-year data.

The data in this dataset are presented in easy-to-read dashboards on our website. View the dashboards here: https://www.sf.gov/data/san-francisco-nonprofit-contracts-and-spending.

<strong>How the dataset is created</strong>
The Controller’s Office performs several significant data cleaning steps before uploading this dataset to the SF Open Data Portal. Please read the cleaning steps below:

Cleaning Steps
1. SF OpenBook provides a filter labeled “Non-Profits Only” (Yes, No), and resulting datasets exported from SF OpenBook include a “Non Profit” column to indicate whether the supplier is a nonprofit (Yes, Blank). However, this field is not always accurate and excludes about 150 known nonprofits that are not labeled as a nonprofit in the City’s financial system. To ensure a complete dataset, we exported a full list of supplier payment data from SF OpenBook with the “Non-Profits Only” field filtered to “No” which provides a list of all supplier payments regardless of nonprofit status. Payments to suppliers may include payments for services to the City, such as memberships, use of space, and passthrough payments to beneficiaries. To identify payments specifically for contracted services delivered by nonprofits, we also filtered the SF Open Book report to only include the following types of goods and services prior to exporting the data: Community Based Org Svcs; Homeless Hsng And Supportv Service; Profess & Specialized Svcs; Professional/Specialized Svcs. 

We cleaned this data by adding a new “Nonprofit” column within the dataset and used this column to note a nonprofit status of “CON-marked Nonprofit” for approximately 150 known nonprofit suppliers without this indicator flagged in the financial system in addition to any nonprofits already accurately flagged in the system. We then filtered the full dataset using the new nonprofit column and used the filtered data for all of the dashboards on the webpage linked above. The list of excluded nonprofits may change over time as information gets updated in the City’s data system. Download the cleaned and updated dataset on the City’s Open Data Portal, which includes all of the known nonprofits.

2. While the University of California, San Francisco (UCSF) is technically not-for-profit, a university’s financial management is very different from traditional nonprofit service providers, and the City’s agreement with UCSF includes hospital staffing in addition to contracted services to the public. The Controller's Office used the ""Nonprofit"" column to be able to exclude payments to UCSF when reporting on overall spending. There are divisions of UCSF that provide more traditional contracted services, but these cannot be clearly identified in the data. Note that filtering out this data may reflect an underrepresentation of overall spending.

3. The Controller's Office also excludes several specific contracts that are predominately “pass through” payments where the nonprofit provider receives funds that they disperse to other agencies, such as for childcare or workforce subsidies. These types of contracts are substantially different from contracts where the nonprofit is providing direct services to San Franciscans.

As of report",Level 1 - Public,Low,Priority 2,2024-11-07T00:00:00Z,Published,qkex-vh98,https://data.sfgov.org/d/qkex-vh98,10/24/2024,,Manual,Annually,"fiscal_year, supplier_name, product_code, contract_number, contract_title, remaining_balance, type_of_goods_and_services, sole_source, completed_payments, date, department_code, department, data_as_of, data_loaded, nonprofit",,80,,2025-10-30T20:42:53Z,2026-01-18T00:00:00Z,2025-02-27T14:27:46Z,2026-01-18T19:13:25Z
TIS-0048,Technology,Orthophoto 1ft (2001) - Treasure Island (Zipped MrSID Format),Orthophoto of Treasure Island from 2001,Level 1 - Public,High,Priority 2,2015-11-03T00:00:00Z,Not Published,,,,,,,,,,,,2026-01-18T00:00:00Z,2025-02-27T14:27:46Z,2026-01-18T19:13:25Z
TTX-0008,Treasurer-Tax Collector,Alarm,Data coming from the Police Emergency Alarm Ordinance passed requiring annual licensing of alarm systems,Level 1 - Public,Medium,Priority 2,2015-04-30T00:00:00Z,Not Published,,,,,,,,,,,,2026-01-18T00:00:00Z,2025-02-27T14:27:46Z,2026-01-18T19:13:25Z
MYR-0026,Mayor,Below Market Rate New Rental Lease-up Units,,Level 2 - Internal Use,Medium,Priority 1,2025-09-23T00:00:00Z,Scoping,,,,,,,,,,,,2026-01-18T00:00:00Z,2025-11-19T15:53:19Z,2026-01-18T19:13:25Z
CPC-0008,Planning,Historical Zoning Districts - April 2000,Historical Zoning Districts - April 2000.,Level 1 - Public,Low,Priority 2,2015-04-30T00:00:00Z,Published,,,,,,,,,,,,2026-01-18T00:00:00Z,2025-02-27T14:27:46Z,2026-01-18T19:13:25Z
ETH-0026,Ethics Commission,Campaign Finance - FPPC Form 460 - Summary Totals,This dataset includes all summary totals e-filed on Fair Political Practices Commission (FPPC) Form 460 Summary Page from 1998 to the present.  The data is current as of the last modified date on this dataset.  See the data key for column definitions: https://data.sfgov.org/Ethics/Campaign-Finance-Data-Key/wygs-cc76,Level 1 - Public,High,Priority 1,2015-04-30T00:00:00Z,Published,,,,,,,,,,,,2026-01-18T00:00:00Z,2025-02-27T14:27:46Z,2026-01-18T19:13:25Z
ADM-0058,City Administrator’s Office,Health Care Security Ordinance cases,Health Care Security Ordinance case data,Level 4 - Protected,High,Priority 2,2015-06-01T00:00:00Z,Not Published,,,,,,,,,,,,2026-01-18T00:00:00Z,2025-02-27T14:27:46Z,2026-01-18T19:13:25Z
MYR-0054,Mayor,Tax Credits,MOHCD Rental Housing portfolio data (all - including pipeline): Projects Financed By City that were also supported with Tax Credit financing,Level 1 - Public,Medium,Priority 2,2017-07-02T00:00:00Z,Not Published,,,,,,,,,,,,2026-01-18T00:00:00Z,2025-02-27T14:27:46Z,2026-01-18T19:13:25Z
LLB-0000,Law Library,No Inventory,,,,,2024-02-28T00:00:00Z,Not Published,,,,,,,,,,,,2026-01-18T00:00:00Z,2025-08-27T11:30:38Z,2026-01-18T19:13:25Z
PRT-0011,Port,Project Maps (GIS Data),Interactive map of Port projects,Level 3 - Sensitive,High,Priority 2,2015-04-30T00:00:00Z,Not Published,,,,,,,,,,,,2026-01-18T00:00:00Z,2025-02-27T14:27:46Z,2026-01-18T19:13:25Z
DPW-0047,Public Works,Project Locations,Project Locations,Level 2 - Internal Use,Medium,Priority 2,2023-11-06T00:00:00Z,Published,,,,,,,,,,,,2026-01-18T00:00:00Z,2025-02-27T14:27:46Z,2026-01-18T19:13:25Z
